Date generated,SKU,MFR,BH-Code,Name,BH Special Price,BH Price,BH Type of Sell,BH Price Rebate,BH Date Rebate,EA Special Price,EA Price,EA Price Rebate,EA Date Rebate,Type of sell to upload,Special Price to Upload,Price To Upload,Rebate to Upload,Date Rebate to Upload
Apr 15 2013 09:11:14,'013803142433,'5260B002,'CAE5D3-REG,"""Canon EOS 5D Mark III Digital Camera (Body Only)""",3299.0,3499.0,rebate,200.0,2013-04-27,3299.0,3499.0,,,rebate,3299.0,3499.0,200.0,2013-04-27,Photography,DSLR Cameras,Canon EOS 5D Mark III
Apr 15 2013 09:11:18,'018208254804,'25480,'NID800-REG,"""Nikon D800 Digital SLR Camera (Body Only)""",2796.95,2996.95,rebate,200.0,2013-04-27,,2786.95,,,normal,,2786.95,,,Photography,DSLR Cameras,Nikon D800
Apr 15 2013 09:11:20,'013803142457,'5260B009,'CAE5D324105-REG,"""Canon EOS 5D Mark III Digital Camera Kit with Canon 24-105mm f/4L IS USM AF Lens""",3875.0,4099.0,incar-rebate,200.0,2013-04-27,3874.99,4099.0,,,incar-rebate,3875.0,4099.0,200.0,2013-04-27,Photography,DSLR Cameras,Canon EOS 5D Mark III
Apr 15 2013 09:11:24,'013803204131,'8035B002,'CAE6D-REG,"""Canon EOS 6D Digital Camera (Body Only)""",1899.0,1999.0,rebate,100.0,2013-04-27,1899.0,1999.0,,,rebate,1899.0,1999.0,100.0,2013-04-27,Photography,DSLR Cameras,Canon EOS 6D
Apr 15 2013 09:11:30,'018208254880,'25488,'NID600-REG,"""Nikon D600 Digital Camera (Body Only)""",1996.95,2096.95,rebate,100.0,2013-04-27,,1986.95,,,normal,,1986.95,,,Photography,DSLR Cameras,Nikon D600
Apr 15 2013 09:11:35,'018208919567,'25472,'NID31001855-REG,"""Nikon D3100 Digital SLR Camera with 18-55mm NIKKOR VR Lens""",446.95,546.95,rebate,100.0,2013-04-27,,436.95,,,normal,,436.95,,,Photography,DSLR Cameras,Nikon D3100
Apr 15 2013 09:11:40,'013803117509,'3814B004,'CAE7D-REG,"""Canon EOS 7D SLR Digital Camera (Body Only)""",1249.0,1499.0,incar-rebate,200.0,2013-04-27,1249.0,1499.0,,,incar-rebate,1249.0,1499.0,200.0,2013-04-27,Photography,DSLR Cameras,Canon EOS 7D
Apr 15 2013 09:11:47,'013803129052,'4460B003,'CAE60D-REG,"""Canon EOS 60D DSLR Camera (Body Only)""",699.0,899.0,rebate,200.0,2013-04-27,749.0,899.0,,,rebate,699.0,899.0,200.0,2013-04-27,Photography,DSLR Cameras,Canon EOS 60D
Apr 15 2013 09:11:54,'018208254927,'25492,'NID32001855-REG,"""Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 1:3.5-5.6G VR Lens (Black)""",596.95,696.95,rebate,100.0,2013-04-27,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D3200
Apr 15 2013 09:11:58,'018208254781,'25478,'NID51001855-REG,"""Nikon D5100 Digital SLR Camera With 18-55mm f/3.5-5.6G VR Lens""",596.95,696.95,rebate,100.0,2013-04-27,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D5100
Apr 15 2013 09:12:00,'018208254989,'25498,'NID800E-REG,"""Nikon D800E Digital SLR Camera (Body Only)""",3296.95,3296.95,normal,,,,3286.95,,,normal,,3286.95,,,Photography,DSLR Cameras,Nikon D800E
