Date generated;SKU;MFR;BH-Code;Name;BH Type of Sell;BH Price;BH Special Price;BH Price Rebate;BH Date Rebate;EA Special Price;EA Price;EA Price Rebate;EA Date Rebate;Type of sell to upload;Special Price to Upload;Price To Upload;Rebate to Upload;Date Rebate to Upload;;;
May 09 2013 13:46:39;'013803129113;'4460B004;'CAE60D18135-REG;"""Canon EOS 60D DSLR Camera Kit with Canon EF-S 18-135mm IS Lens""";rebate;999.0;1199.0;200.0;2013-05-25;999.0;1199.0;200.0;2013-05-11;rebate;999.0;1199.0;200.0;2013-05-25;Photography;DSLR Cameras;Canon EOS 60D
May 09 2013 14:04:45;'027075218215;'15758;'PEK301855BL-REG;"""Pentax K30 Digital Camera with 18-55mm AL Lens Kit (Blue)""";rebate;646.95;746.95;100.0;2013-06-30;;619.0;;;rebate;646.95;746.95;100.0;2013-06-30;Photography;DSLR Cameras;Pentax K30
May 09 2013 14:13:48;'027075217713;'15656;'PEK302LKBQ-REG;"""Pentax K30 Digital Camera with 18-55mm AL and 55-300mm AL Lens Kit""";rebate;896.95;996.95;100.0;2013-06-30;;996.95;;;rebate;896.95;996.95;100.0;2013-06-30;Photography;DSLR Cameras;Pentax K30
May 09 2013 14:13:55;'027075220966;'12161;'PEQ10515S-REG;"""Pentax Q10 Compact Digital Interchangeable Lens Camera with 5-15mm Lens (Silver)""";normal;496.95;496.95;;;;596.95;;;normal;;496.95;;;Photography;Mirrorless System Cameras;Pentax Q10
May 09 2013 14:24:19;'027075221307;'12195;'PEQ10515R-REG;"""Pentax Q10 Compact Digital Interchangeable Lens Camera with 5-15mm Lens (Red)""";normal;496.95;496.95;;;;596.95;;;normal;;496.95;;;Photography;Mirrorless System Cameras;Pentax Q10
;;;;;;;;;;;;;;;;;;;;;
May 09 2013 15:29:07;'050332179417;'V315030BU000;'OL401504B-REG;"""Olympus M.Zuiko Digital ED 40-150mm f/4.0-5.6 R Lens (Black)""";rebate;149.0;199.0;50.0;2013-05-11;;199.0;;;rebate;149.0;199.0;50.0;2013-05-11;Photography;Mirrorless System Lenses;Olympus V315030BU000
;;;;;;;;;;;;;;;;;;;;;
May 09 2013 15:29:22;'085126883546;'883-101;'SI1825035MC-REG;"""Sigma 18-250mm F3.5-6.3 DC Macro OS HSM for Canon EF Cameras""";rebate;399.0;549.0;150.0;2013-06-30;399.0;549.0;;2013-04-30;rebate;399.0;549.0;150.0;2013-06-30;Photography;SLR Lenses;Sigma 883-101
;;;;;;;;;;;;;;;;;;;;;
May 09 2013 15:30:08;'085126883553;'883-306;'SI1825035MN-REG;"""Sigma 18-250mm F3.5-6.3 DC Macro OS HSM for Nikon F Cameras""";rebate;399.0;549.0;150.0;2013-06-30;399.0;549.0;;2013-04-30;rebate;399.0;549.0;150.0;2013-06-30;Photography;SLR Lenses;Sigma 883-306
